congress_num,election_year,state,st_abbrev,fips,STATEFP,district,CD115FP,GEOID,name,party,fec_candidate_id,url,fin_total_receipt,fin_total_disbursement,employment,annual_payroll_in_1000,num_of_establishment
116,2018,Alaska,AK,2,2,0,0,200,Don Young,REP,H6AK00045,http://alaskansfordonyoung.com/,1041380,1159940,266072,15239195,21077
116,2018,Alabama,AL,1,1,1,1,101,Bradley Byrne,REP,H4AL01123,https://www.byrneforcongress.com/,1325140,662806,236720,9449314,15611
116,2018,Alabama,AL,1,1,2,2,102,Martha Roby,REP,H0AL02087,http://martharoby.com/,2506890,2100810,215224,8266520,14252
116,2018,Alabama,AL,1,1,3,3,103,Mike Rogers,REP,H2AL03032,http://www.mikerogersforcongress.com/,1219670,857764,179100,6150074,11510
116,2018,Alabama,AL,1,1,4,4,104,Robert Aderholt,REP,H6AL04098,http://aderholtforcongress.org/,1487010,853026,188796,6497936,12538
116,2018,Alabama,AL,1,1,5,5,105,Mo Brooks,REP,H0AL05163,http://mobrooksforcongress.com/,1474730,1876240,255797,11465689,15137
116,2018,Alabama,AL,1,1,6,6,106,Gary Palmer,REP,H4AL06098,http://palmerforalabama.com/,1187160,1318790,251622,11806559,16197
116,2018,Alabama,AL,1,1,7,7,107,Terri Sewell,DEM,H0AL07086,http://www.sewellforcongress.com/,1634560,1028350,287267,13460524,13840
116,2018,Arkansas,AR,5,5,1,1,501,Rick Crawford,REP,H0AR01083,http://www.meetrickcrawford.com/,974708,766218,192289,6526430,13855
116,2018,Arkansas,AR,5,5,2,2,502,French Hill,REP,H4AR02141,https://www.electfrench.com/,2724800,2843740,294396,12284595,18848
116,2018,Arkansas,AR,5,5,3,3,503,Steve Womack,REP,H0AR03055,http://womackforcongress.com/,1096640,1063570,328502,15048329,18788
116,2018,Arkansas,AR,5,5,4,4,504,Bruce Westerman,REP,H4AR04048,https://www.brucewesterman.com/,1574700,960858,186615,6504135,13748
116,2018,Arizona,AZ,4,4,1,1,401,Tom O'Halleran,DEM,H6AZ01199,http://www.tomohalleran.com/,2408830,2023000,166416,6415346,11927
116,2018,Arizona,AZ,4,4,2,2,402,Ann Kirkpatrick,DEM,H8AZ02151,https://www.kirkpatrickforcongress.com/,4087160,3275820,217943,7971798,15397
116,2018,Arizona,AZ,4,4,3,3,403,Raúl Grijalva,DEM,H2AZ07070,http://www.standwithraul.com/,645538,591169,165199,6620802,9888
116,2018,Arizona,AZ,4,4,4,4,404,Paul Gosar,REP,H0AZ01259,http://drpaulgosar.com/,537362,442051,141929,4689523,12645
116,2018,Arizona,AZ,4,4,5,5,405,Andy Biggs,REP,H6AZ05083,https://biggsforcongress.com/,765153,531105,187758,7590440,14439
116,2018,Arizona,AZ,4,4,6,6,406,David Schweikert,REP,H4AZ06045,https://davidschweikert.com/,1687400,1472420,379927,19555511,24973
116,2018,Arizona,AZ,4,4,7,7,407,Ruben Gallego,DEM,H4AZ07043,https://gallegoforarizona.com/,972420,871342,387001,19479408,14033
116,2018,Arizona,AZ,4,4,8,8,408,Debbie Lesko,REP,H8AZ08158,http://www.debbieleskoforcongress.com/,1906380,1541970,152527,5319119,11511
116,2018,Arizona,AZ,4,4,9,9,409,Greg Stanton,DEM,H8AZ09040,http://stantonforarizona.com/,2317900,2159070,475935,24709778,23646
116,2018,California,CA,6,6,1,1,601,Doug LaMalfa,REP,H2CA02142,http://www.douglamalfa.com/,928930,785602,171410,6765690,15365
116,2018,California,CA,6,6,10,10,610,Josh Harder,DEM,H8CA10126,https://www.harderforcongress.com/,7051820,6209200,190329,8414164,12185
116,2018,California,CA,6,6,11,11,611,Mark DeSaulnier,DEM,H0CA10073,http://desaulnierforcongress.com/,543869,438544,230676,13861319,16983
116,2018,California,CA,6,6,12,12,612,Nancy Pelosi,DEM,H8CA05035,https://www.pelosiforcongress.org/,4096320,4581440,613587,59999461,32718
116,2018,California,CA,6,6,13,13,613,Barbara Lee,DEM,H8CA09060,http://barbaraleeforcongress.org/,1664780,1589340,300945,19733986,19174
116,2018,California,CA,6,6,14,14,614,Jackie Speier,DEM,H8CA12171,http://www.jackiespeier.org/,903522,598202,351648,37628529,19454
116,2018,California,CA,6,6,15,15,615,Eric Swalwell,DEM,H2CA15094,https://www.swalwellforcongress.com/,2812370,2181950,289706,21236353,16997
116,2018,California,CA,6,6,16,16,616,Jim Costa,DEM,H4CA20082,http://www.jimcosta.com/,1697690,1913600,149720,6271829,9102
116,2018,California,CA,6,6,17,17,617,Ro Khanna,DEM,H4CA12055,http://www.rokhanna.com/,2643300,1774850,562421,68100168,21411
